time,loop_dt,x,y,z,vx,vy,vz,pitch,roll,yaw,pid_x,pid_y,pid_z,rc_lr,rc_fb,rc_ud,rc_yaw,tof_cm,barometer_m,height_cm,agx,agy,agz,vel_raw_x,vel_raw_y,vel_raw_z,pitch_raw,roll_raw,yaw_raw,battery:
1765315463.0794158,0.0,0.01021266460418701,0.002047629356384277,-0.3367720338624655,0.01,0.0,0.0,0,-2,0,-0.608506570423677,-0.08190518785852895,40,-0.608506570423677,-0.08190518785852895,40,0,81,15960.0,60,35.0,-7.0,-1071.0,1,0,0,0,-2,0,76
1765315463.1197395,0.0,0.010615901947021483,0.002047629356384277,-0.25853161015848497,0.01,0.0,0.0,1,-2,0,-0.6246360723833382,-0.08190517969663423,22.34561174648909,-0.6246360723833382,-0.08190517969663423,22.34561174648909,0,81,15961.000000000002,60,31.0,-3.0,-932.0,1,0,0,1,-2,0,76
1765315463.1603184,0.0,0.011021690368652342,0.002047629356384277,-0.23505948304729082,0.01,0.0,0.0,1,-2,0,-0.6408676125470852,-0.08190517643187634,12.804654990352162,-0.6408676125470852,-0.08190517643187634,12.804654990352162,0,81,15961.000000000002,60,31.0,-3.0,-932.0,1,0,0,1,-2,0,76
1765315463.2016475,0.0,0.011434981822967528,0.002047629356384277,-0.22801784491393257,0.01,0.0,0.0,1,-2,0,-0.6573992720390978,-0.08190517512597319,12.798740166589603,-0.6573992720390978,-0.08190517512597319,12.798740166589603,0,81,15961.000000000002,60,31.0,-3.0,-932.0,1,0,0,1,-2,0,76
1765315463.242684,0.0,0.011845345497131347,0.002047629356384277,1.0340946465255656,0.01,0.0,0.0,1,-2,0,-0.6738138195334127,-0.08190517460361192,-40,-0.6738138195334127,-0.08190517460361192,-40,0,81,15969.999999999998,60,41.0,-24.0,-1131.0,1,0,0,1,-2,0,76
1765315463.2835937,0.0010008811950683594,0.01226445198059082,0.002047629356384277,1.4127283939574151,0.01,0.0,0.0,1,-2,0,-0.6905780790828964,-0.08190517439466742,-40,-0.6905780790828964,-0.08190517439466742,-40,0,81,15969.999999999998,60,41.0,-24.0,-1131.0,1,0,0,1,-2,0,76
1765315463.3245528,0.0,0.012664034366607665,0.0024472117424011227,0.9698185181872245,0.01,0.01,0.0,1,-2,0,-0.7065613746080122,-0.2178884697517634,29.798003353495854,-0.7065613746080122,-0.2178884697517634,29.798003353495854,0,82,15966.0,60,17.0,-11.0,-968.0,1,1,0,1,-2,0,76
1765315463.365095,0.0,0.013069455623626708,0.0028526329994201655,0.8369455554561673,0.01,0.01,0.0,1,-2,0,-0.7227782249225505,-0.28210531999909394,27.96123553037199,-0.7227782249225505,-0.28210531999909394,27.96123553037199,0,82,15966.0,60,17.0,-11.0,-968.0,1,1,0,1,-2,0,76
1765315463.4054806,0.0,0.013473312854766845,0.003256490230560302,0.7970836666368502,0.01,0.01,0.0,1,-2,0,-0.7389325141816667,-0.317459609231327,11.377575205170523,-0.7389325141816667,-0.317459609231327,11.377575205170523,0,82,15966.0,60,17.0,-11.0,-968.0,1,1,0,1,-2,0,76
1765315463.446667,0.0,0.013885176181793213,0.003668353557586669,0.7886250999910551,0.01,0.01,0.0,1,-1,0,-0.755407047268126,-0.3416141423070327,0.8608845710509634,-0.755407047268126,-0.3416141423070327,0.8608845710509634,0,83,15966.0,60,-52.0,4.0,-937.0,1,1,0,1,-1,0,76
1765315463.4882,0.0,0.014300506114959716,0.004083683490753173,0.7860875299973166,0.01,0.01,0.0,1,-1,0,-0.7720202445969474,-0.36129933963155314,-3.304050791385925,-0.7720202445969474,-0.36129933963155314,-3.304050791385925,0,83,15966.0,60,-52.0,4.0,-937.0,1,1,0,1,-1,0,76
1765315463.5287735,0.0,0.014706242084503173,0.0044894194602966295,0.788826258999195,0.01,0.01,0.0,0,-1,0,-0.7882496833795504,-0.3787575784124356,-5.523717170993932,-0.7882496833795504,-0.3787575784124356,-5.523717170993932,0,84,15966.0,60,7.0,-17.0,-1088.0,1,1,0,0,-1,0,76
1765315463.5693886,0.0,0.015112392902374266,0.004895570278167723,0.7896478776997584,0.01,0.01,0.0,0,-1,0,-0.8044957160947398,-0.3954951311269371,-5.858720945276149,-0.8044957160947398,-0.3954951311269371,-5.858720945276149,0,84,15966.0,60,7.0,-17.0,-1088.0,1,1,0,0,-1,0,76
1765315463.610168,0.0,0.01552018642425537,0.005303363800048827,0.7898943633099275,0.01,0.01,0.0,0,-1,0,-0.8208074569701227,-0.41200348000204434,-5.859926893698086,-0.8208074569701227,-0.41200348000204434,-5.859926893698086,0,84,15966.0,60,7.0,-17.0,-1088.0,1,1,0,0,-1,0,76
1765315463.6522193,0.0,0.015940699577331543,0.005723876953124998,1.0734683089929784,0.01,0.01,0.0,1,-1,0,-0.8376279830932251,-0.42890264932503636,-40,-0.8376279830932251,-0.42890264932503636,-40,0,85,15968.0,60,-31.0,-10.0,-986.0,1,1,0,1,-1,0,75
1765315463.69328,0.0,0.016351306438446046,0.0061344838142395,1.1585404926978937,0.01,0.01,0.0,1,-1,0,-0.8540522575378275,-0.4453583810495945,-40,-0.8540522575378275,-0.4453583810495945,-40,0,85,15968.0,60,-31.0,-10.0,-986.0,1,1,0,1,-1,0,75
1765315463.734275,0.0,0.016351306438446046,0.0065444350242614725,2.167562147809368,0.0,0.01,0.0,1,-1,0,-0.7340522575378361,-0.46176901236246465,-40,-0.7340522575378361,-0.46176901236246465,-40,0,86,15975.0,60,-2.0,19.0,-1026.0,0,1,0,1,-1,0,75
1765315463.774869,0.0,0.016351306438446046,0.006950373649597166,2.47026864434281,0.0,0.01,0.0,1,-1,0,-0.6860522575378395,-0.47801159054068904,-40,-0.6860522575378395,-0.47801159054068904,-40,0,86,15975.0,60,-2.0,19.0,-1026.0,0,1,0,1,-1,0,75
1765315463.815461,0.0,0.016351306438446046,0.007356293201446531,2.561080593302843,0.0,0.01,0.0,1,-1,0,-0.6668522575378408,-0.4942503858805821,-40,-0.6668522575378408,-0.4942503858805821,-40,0,86,15975.0,60,-2.0,19.0,-1026.0,0,1,0,1,-1,0,75
1765315463.8567288,0.0,0.016351306438446046,0.007356293201446531,1.7518241779908532,0.0,0.0,0.0,1,-1,0,-0.6591722575378415,-0.3742511911869496,40,-0.6591722575378415,-0.3742511911869496,40,0,87,15969.0,60,1.0,13.0,-931.0,0,0,0,1,-1,0,75
1765315463.8978605,0.0,0.016351306438446046,0.007356293201446531,1.5090472533972563,0.0,0.0,0.0,1,-1,0,-0.6561002575378416,-0.3262515133094966,40,-0.6561002575378416,-0.3262515133094966,40,0,87,15969.0,60,1.0,13.0,-931.0,0,0,0,1,-1,0,75
1765315463.938657,0.0,0.016759271621704104,0.007356293201446531,1.4362141760191771,0.01,0.0,0.0,1,-2,0,-0.7911900648681643,-0.3070516421585154,17.2367342064448,-0.7911900648681643,-0.3070516421585154,17.2367342064448,0,87,15969.0,60,6.0,-22.0,-922.0,1,0,0,1,-2,0,75
1765315463.9794505,0.0,0.017167205810546877,0.007356293201446531,1.4143642528057534,0.01,0.0,0.0,1,-2,0,-0.8550159124218751,-0.29937169369812294,-3.74961362271711,-0.8550159124218751,-0.29937169369812294,-3.74961362271711,0,87,15969.0,60,6.0,-22.0,-922.0,1,0,0,1,-2,0,75
1765315464.019844,0.0,0.017571141719818117,0.007356293201446531,1.4078092758417262,0.01,0.0,0.0,1,-2,0,-0.8901767407927245,-0.2962997143139659,-12.658940544905898,-0.8901767407927245,-0.2962997143139659,-12.658940544905898,0,87,15969.0,60,6.0,-22.0,-922.0,1,0,0,1,-2,0,75
1765315464.0601249,0.0,0.017973949909210207,0.007356293201446531,2.102342782752518,0.01,0.0,0.0,1,-2,0,-0.9138904251684081,-0.29507092256030315,-40,-0.9138904251684081,-0.29507092256030315,-40,0,86,15974.0,60,-7.0,-15.0,-1014.0,1,0,0,1,-2,0,75
1765315464.1007903,0.0,0.018380603790283206,0.007356293201446531,2.3107028348257557,0.01,0.0,0.0,1,-2,0,-0.9331971231313285,-0.294579405858838,-40,-0.9331971231313285,-0.294579405858838,-40,0,86,15974.0,60,-7.0,-15.0,-1014.0,1,0,0,1,-2,0,75
1765315464.1419663,0.0,0.01879236459732056,0.0077680540084838845,1.3932108504474723,0.01,0.01,0.0,1,-1,0,-0.9508837725008228,-0.430853231459746,40,-0.9508837725008228,-0.430853231459746,40,0,86,15966.999999999998,60,-29.0,-3.0,-1061.0,1,1,0,1,-1,0,75
